CO_ENTIDADE;ANO;CRE_TOTAL;CRE_DIURNO;CRE_INTEGRAL;CRE_NOTURNO;PRE_TOTAL;PRE_DIURNO;PRE_INTEGRAL;PRE_NOTURNO;FUND_TOTAL;FUND_DIURNO;FUND_INTEGRAL;FUND_NOTURNO;EJA_TOTAL;EJA_DIURNO;EJA_INTEGRAL;EJA_NOTURNO
29024463;2024;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;201
29024498;2024;19;19;0;0;25;25;0;0;193;193;0;0;0;0;0;0
29024528;2024;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;132
29024536;2024;0;0;0;0;0;0;0;0;782;782;0;0;390;0;0;390
29024544;2024;0;0;0;0;4;4;0;0;64;64;0;0;0;0;0;0
29024579;2024;0;0;0;0;0;0;0;0;470;121;349;0;50;0;0;50
29024587;2024;0;0;0;0;0;0;0;0;481;0;481;0;0;0;0;0
29024595;2024;0;0;0;0;59;59;0;0;702;702;0;0;0;0;0;0
29024641;2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29024650;2024;3;3;0;0;22;22;0;0;41;41;0;0;0;0;0;0
29024668;2024;0;0;0;0;0;0;0;0;363;353;10;0;0;0;0;0
29024692;2024;0;0;0;0;0;0;0;0;704;648;56;0;0;0;0;0
29024714;2024;0;0;0;0;35;35;0;0;187;182;5;0;0;0;0;0
29024722;2024;0;0;0;0;0;0;0;0;424;415;9;0;123;0;0;123
29024765;2024;0;0;0;0;0;0;0;0;650;650;0;0;182;0;0;182
29024803;2024;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6
29024811;2024;10;10;0;0;20;20;0;0;68;68;0;0;0;0;0;0
29024838;2024;0;0;0;0;0;0;0;0;526;502;24;0;0;0;0;0
29024846;2024;0;0;0;0;0;0;0;0;243;243;0;0;172;0;0;172
29024889;2024;0;0;0;0;0;0;0;0;208;208;0;0;0;0;0;0
29024900;2024;0;0;0;0;0;0;0;0;242;215;27;0;0;0;0;0
29024927;2024;0;0;0;0;0;0;0;0;670;636;34;0;0;0;0;0
29024943;2024;0;0;0;0;0;0;0;0;367;337;30;0;0;0;0;0
29024960;2024;0;0;0;0;0;0;0;0;693;673;20;0;0;0;0;0
29024978;2024;0;0;0;0;0;0;0;0;540;474;66;0;0;0;0;0
29024986;2024;0;0;0;0;17;0;17;0;179;91;88;0;162;0;0;162
29025001;2024;0;0;0;0;0;0;0;0;467;460;7;0;134;0;0;134
29025028;2024;0;0;0;0;0;0;0;0;741;741;0;0;0;0;0;0
29025036;2024;0;0;0;0;0;0;0;0;623;598;25;0;0;0;0;0
29025052;2024;0;0;0;0;0;0;0;0;279;279;0;0;84;0;0;84
29025079;2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29025087;2024;0;0;0;0;0;0;0;0;751;720;31;0;58;0;0;58
29025117;2024;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;183
29025168;2024;0;0;0;0;0;0;0;0;328;312;16;0;52;0;0;52
29025176;2024;0;0;0;0;0;0;0;0;229;214;15;0;0;0;0;0
29025184;2024;0;0;0;0;70;66;4;0;306;286;20;0;67;0;0;67
29025206;2024;0;0;0;0;0;0;0;0;464;447;17;0;0;0;0;0
29025311;2024;0;0;0;0;0;0;0;0;243;219;24;0;0;0;0;0
29025338;2024;108;83;25;0;97;87;10;0;0;0;0;0;0;0;0;0
29025362;2024;0;0;0;0;0;0;0;0;238;238;0;0;0;0;0;0
29025370;2024;0;0;0;0;0;0;0;0;308;298;10;0;20;0;0;20
29025397;2024;0;0;0;0;0;0;0;0;885;819;66;0;70;0;0;70
29025460;2024;20;20;0;0;33;33;0;0;78;78;0;0;0;0;0;0
29025478;2024;0;0;0;0;0;0;0;0;671;629;42;0;75;0;0;75
29025524;2024;101;0;101;0;143;143;0;0;189;131;58;0;0;0;0;0
29025575;2024;0;0;0;0;0;0;0;0;539;242;297;0;0;0;0;0
29025613;2024;0;0;0;0;31;31;0;0;65;65;0;0;0;0;0;0
29026423;2024;100;68;32;0;125;121;4;0;0;0;0;0;0;0;0;0
